40.00	24.911162	18728646	51.187920
40.25	24.919341	18556889	47.516982
40.50	24.930057	18377685	54.857181
40.75	24.949598	18192144	72.589835
41.00	24.955418	17987494	54.066644
41.25	24.962752	17783733	59.279157
41.50	24.968522	17559758	69.534715
41.75	24.970197	17352915	59.831692
42.00	24.978747	17142084	75.926636
42.25	24.985424	16924199	71.402805
42.50	24.992354	16694332	66.498844
42.75	25.005176	16435099	89.011074
43.00	25.013302	16168911	120.401213
43.25	25.023459	15911641	61.578803
43.50	25.033526	15637593	66.479768
43.75	25.050022	15373355	203.188960
44.00	25.071433	15087472	171.317690
44.25	25.079683	14782763	76.665751
44.50	25.098015	14491616	128.429646
44.75	25.113196	14209688	264.019964
45.00	25.127250	13906591	307.656734
45.25	25.133635	13591369	76.067291
45.50	25.150227	13271026	47.712192
45.75	25.166197	12929851	46.653765
46.00	25.187789	12604081	51.855403
46.25	25.205301	12267992	54.529765
46.50	25.224417	11926613	51.095595
46.75	25.260778	11607013	46.202871
47.00	25.284750	11283152	46.393809
47.25	25.308478	10960031	47.695680
47.50	25.333889	10634571	48.060693
47.75	25.358792	10311916	48.433787
48.00	25.385455	9997228	49.919829
48.25	25.422254	9701438	122.411289
48.50	25.450794	9414775	50.291833
48.75	25.485215	9120510	48.120643
49.00	25.533460	8836450	47.923620
49.25	25.563299	8548327	49.019366
49.50	25.607052	8276547	60.251110
49.75	25.639739	8006050	128.233972
50.00	25.684533	7745976	69.512378
50.25	25.734650	7496025	54.206177
50.50	25.783956	7243969	54.623617
50.75	25.835821	7003384	66.065983
51.00	25.886602	6766652	49.989540
51.25	25.951492	6539106	50.152646
51.50	26.014553	6316205	50.320802
51.75	26.069703	6106823	57.669114
52.00	26.140663	5892121	68.878714
52.25	26.199792	5698904	51.194171
52.50	26.283147	5508834	58.147048
52.75	26.364496	5320676	51.307162
53.00	26.430131	5145327	51.935586
53.25	26.510284	4959938	54.649115
53.50	26.582511	4789881	55.633082
53.75	26.666258	4636622	80.028590
54.00	26.746870	4480983	55.987549
54.25	26.822067	4324943	52.816058
54.50	26.901466	4180867	53.095885
54.75	27.002342	4035473	65.360671
55.00	27.075440	3903569	55.814623
55.25	27.156323	3770530	53.726901
55.50	27.249286	3643906	54.067702
55.75	27.327266	3510839	54.315709
56.00	27.418061	3385256	54.426799
56.25	27.517922	3274829	59.034222
56.50	27.593810	3160050	54.508258
56.75	27.663435	3043981	54.866677
57.00	27.742490	2941679	55.446191
57.25	27.835095	2850049	144.205667
57.50	27.916727	2751948	56.297657
57.75	28.003596	2657912	57.044972
